ID,K1,K2,K3,K4,K5,Assigned_cluster,sample,condition,Taxa,ID.y,group,era,Q,origin,meta
S12544_1_2_2,0.893479,0.052792,0.00001,0.053709,0.00001,1,S12544_1_2_2_chilling,chilling,S12544_1_2_2,S12544122,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12607,0.99996,0.00001,0.00001,0.00001,0.00001,1,S12607_cold,cold,S12607,S12607,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14036,0.00001,0.00001,0.00001,0.99996,0.00001,4,S14036_chilling,chilling,S14036,S14036,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,0.011107,0.00001,0.00001,0.988863,0.00001,4,S14068A3_chilling,chilling,S14068A3,S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,0.00001,0.000013,0.00001,0.999957,0.00001,4,S14189_1_chilling,chilling,S14189_1,S141891,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,0.000013,0.00001,0.000017,0.99995,0.00001,4,S14189_2_chilling,chilling,S14189_2,S141892,Polskie,II,NSS,Poland,NSS_II_Poland
S14225_1,0.99996,0.00001,0.00001,0.00001,0.00001,1,S14225_1_chilling,chilling,S14225_1,S142251,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_2,0.99996,0.00001,0.00001,0.00001,0.00001,1,S14225_2_control,control,S14225_2,S142252,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,0.99996,0.00001,0.00001,0.00001,0.00001,1,S14225_3_chilling,chilling,S14225_3,S142253,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,0.999956,0.000013,0.00001,0.000012,0.00001,1,S14237_chilling,chilling,S14237,S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S15153A_3,0.003236,0.00001,0.00001,0.996734,0.00001,4,S15153A_3_chilling,chilling,S15153A_3,S15153A3,Polskie,II,NSS,Poland,NSS_II_Poland
S152,0.229491,0.207186,0.279586,0.283727,0.00001,4,S152_chilling,chilling,S152,S152,Polskie,I,NSS,Poland,NSS_I_Poland
S160,0.079474,0.270113,0.587541,0.021418,0.041453,3,S160_cold,cold,S160,S160,Polskie,I,Mix,Poland,Mix_I_Poland
