VCFname,group,era,Q,orygin,meta
CML10,Tropical,NA,Tropical,Mexico,Tropical
CML10,Tropical,NA,Tropical,Mexico,Tropical
CML11,Tropical,NA,Tropical,Mexico,Tropical
CML11,Tropical,NA,Tropical,Mexico,Tropical
CML11,Tropical,NA,Tropical,Mexico,Tropical
CML14,Tropical,NA,Tropical,Mexico,Tropical
CML14,Tropical,NA,Tropical,Mexico,Tropical
CML157Q,Tropical,NA,Tropical,Mexico,Tropical
CML157Q,Tropical,NA,Tropical,Mexico,Tropical
CML157Q,Tropical,NA,Tropical,Mexico,Tropical
CML158Q,Tropical,NA,Tropical,Mexico,Tropical
CML_220,Tropical,I,Tropical,Mexico,Tropical
CML_220,Tropical,I,Tropical,Mexico,Tropical
CML_220,Tropical,I,Tropical,Mexico,Tropical
CML_228,Tropical,I,Tropical,Mexico,Tropical
CML_228,Tropical,I,Tropical,Mexico,Tropical
CML_228,Tropical,I,Tropical,Mexico,Tropical
CML238,Tropical,NA,Tropical,Mexico,Tropical
CML238,Tropical,NA,Tropical,Mexico,Tropical
CML238,Tropical,NA,Tropical,Mexico,Tropical
CML_247,Tropical,NA,Tropical,Mexico,Tropical
CML_247,Tropical,NA,Tropical,Mexico,Tropical
CML_254,Tropical,NA,Tropical,Mexico,Tropical
CML_254,Tropical,NA,Tropical,Mexico,Tropical
CML_254,Tropical,NA,Tropical,Mexico,Tropical
CML_254,Tropical,NA,Tropical,Mexico,Tropical
CML261,Tropical,NA,Tropical,Mexico,Tropical
CML261,Tropical,NA,Tropical,Mexico,Tropical
CML261,Tropical,NA,Tropical,Mexico,Tropical
CML_264,Tropical,NA,Tropical,Mexico,Tropical
CML_264,Tropical,NA,Tropical,Mexico,Tropical
CML_264,Tropical,NA,Tropical,Mexico,Tropical
CML_277,Tropical,NA,Tropical,Mexico,Tropical
CML_277,Tropical,NA,Tropical,Mexico,Tropical
CML_277,Tropical,NA,Tropical,Mexico,Tropical
CML281,Tropical,NA,Tropical,Mexico,Tropical
CML281,Tropical,NA,Tropical,Mexico,Tropical
CML281,Tropical,NA,Tropical,Mexico,Tropical
CML_287,Tropical,NA,Tropical,Mexico,Tropical
CML_287,Tropical,NA,Tropical,Mexico,Tropical
CML_287,Tropical,NA,Tropical,Mexico,Tropical
CML311,Tropical,NA,Tropical,Mexico,Tropical
CML314,Tropical,NA,Tropical,Mexico,Tropical
CML321,Tropical,NA,Tropical,Mexico,Tropical
CML321,Tropical,NA,Tropical,Mexico,Tropical
CML321,Tropical,NA,Tropical,Mexico,Tropical
CML_322,Tropical,I,Tropical,Mexico,Tropical
CML_322,Tropical,I,Tropical,Mexico,Tropical
CML_322,Tropical,I,Tropical,Mexico,Tropical
CML328,Mixed,NA,Tropical,Mexico,Tropical
CML328,Mixed,NA,Tropical,Mexico,Tropical
CML331,Tropical,NA,Tropical,Mexico,Tropical
CML331,Tropical,NA,Tropical,Mexico,Tropical
CML331,Tropical,NA,Tropical,Mexico,Tropical
CML332,Tropical,NA,Tropical,Mexico,Tropical
CML332,Tropical,NA,Tropical,Mexico,Tropical
CML332,Tropical,NA,Tropical,Mexico,Tropical
CML333,Tropical,NA,Tropical,Mexico,Tropical
CML333,Tropical,NA,Tropical,Mexico,Tropical
CML38,Tropical,NA,Tropical,Mexico,Tropical
CML45,Tropical,NA,Tropical,Mexico,Tropical
CML45,Tropical,NA,Tropical,Mexico,Tropical
CML_52,Tropical,NA,Tropical,Mexico,Tropical
CML_52,Tropical,NA,Tropical,Mexico,Tropical
CML_52,Tropical,NA,Tropical,Mexico,Tropical
CML69,Tropical,NA,Tropical,Mexico,Tropical
CML69,Tropical,NA,Tropical,Mexico,Tropical
CML69,Tropical,NA,Tropical,Mexico,Tropical
CML_91,Tropical,I,Tropical,Mexico,Tropical
CML92,Mixed,NA,Tropical,Mexico,Tropical
CML92,Mixed,NA,Tropical,Mexico,Tropical
CML92,Mixed,NA,Tropical,Mexico,Tropical
CMV3,NSS,NA,NSS,US,NSS_NA_US
CMV3,NSS,NA,NSS,US,NSS_NA_US
CMV3,NSS,NA,NSS,US,NSS_NA_US
CO106,Broad origin-public,I,NSS,US,NSS_I_US
CO106,Broad origin-public,I,NSS,US,NSS_I_US
CO106,Broad origin-public,I,NSS,US,NSS_I_US
CR14,SS,II,SS,US,SS_II_US
CR14,SS,II,SS,US,SS_II_US
DE811,SS,I,SS,US,SS_I_US
DE811,SS,I,SS,US,SS_I_US
DJ7,SS,II,SS,US,SS_II_US
DJ7,SS,II,SS,US,SS_II_US
DJ7,SS,II,SS,US,SS_II_US
E8501,NSS,II,NSS,US,NSS_II_US
E8501,NSS,II,NSS,US,NSS_II_US
EP1,Sweet corn,,mix,NA,mix__NA
EP1,Sweet corn,,mix,NA,mix__NA
EP1,Sweet corn,,mix,NA,mix__NA
F2834T,Tropical,,Tropical,Mexico,Tropical
F2,Sweet corn,NA,mix,NA,mix_NA_NA
F2,Sweet corn,NA,mix,NA,mix_NA_NA
F2,Sweet corn,NA,mix,NA,mix_NA_NA
F42,SS,NA,SS,US,SS_NA_US
F42,SS,NA,SS,US,SS_NA_US
F7,Sweet corn,,mix,NA,mix__NA
F7,Sweet corn,,mix,NA,mix__NA
F7,Sweet corn,,mix,NA,mix__NA
FS16094A,Polskie,II,NSS,Poland,NSS_II_Poland
FS16094A,Polskie,II,NSS,Poland,NSS_II_Poland
FS16094A,Polskie,II,NSS,Poland,NSS_II_Poland
GA209,NSS,NA,mix,NA,mix_NA_NA
GA209,NSS,NA,mix,NA,mix_NA_NA
GA209,NSS,NA,mix,NA,mix_NA_NA
GT112,NSS,NA,mix,NA,mix_NA_NA
GT112,NSS,NA,mix,NA,mix_NA_NA
H114,SS,I,SS,US,SS_I_US
H114,SS,I,SS,US,SS_I_US
H49,NSS,I,NSS,US,NSS_I_US
H49,NSS,I,NSS,US,NSS_I_US
H84,SS,I,SS,US,SS_I_US
H84,SS,I,SS,US,SS_I_US
H84,SS,I,SS,US,SS_I_US
H95,NSS,I,NSS,US,NSS_I_US
H95,NSS,I,NSS,US,NSS_I_US
H95,NSS,I,NSS,US,NSS_I_US
HB8229,SS,NA,SS,US,SS_NA_US
HB8229,SS,NA,SS,US,SS_NA_US
I29,Popcorn,,mix,NA,mix__NA
I29,Popcorn,,mix,NA,mix__NA
I29,Popcorn,,mix,NA,mix__NA
IBB15,IDT,II,Iodent,US,Iodent_II_US
IBB15,IDT,II,Iodent,US,Iodent_II_US
IBB15,IDT,II,Iodent,US,Iodent_II_US
K4,Broad origin-public,I,NSS,US,NSS_I_US
K4,Broad origin-public,I,NSS,US,NSS_I_US
Ki11,Tropical,NA,Tropical,Mexico,Tropical
Ki11,Tropical,NA,Tropical,Mexico,Tropical
Ki11,Tropical,NA,Tropical,Mexico,Tropical
Ki14,Tropical,NA,Tropical,Mexico,Tropical
Ki14,Tropical,NA,Tropical,Mexico,Tropical
Ki43,Tropical,NA,Tropical,Mexico,Tropical
Ki43,Tropical,NA,Tropical,Mexico,Tropical
Ki44,Tropical,NA,Tropical,Mexico,Tropical
Ky21,NSS,I,mix,NA,mix_I_NA
Ky21,NSS,I,mix,NA,mix_I_NA
Ky21,NSS,I,mix,NA,mix_I_NA
Ky226,Mixed,I,mix,NA,mix_I_NA
Ky226,Mixed,I,mix,NA,mix_I_NA
LH123HT,NSS,II,NSS,US,NSS_II_US
LH145,SS,II,SS,US,SS_II_US
LH194,SS,II,SS,US,SS_II_US
LH1,SS,II,SS,US,SS_II_US
LH1,SS,II,SS,US,SS_II_US
LH208,SS,II,SS,US,SS_II_US
LH208,SS,II,SS,US,SS_II_US
LH208,SS,II,SS,US,SS_II_US
LH220Ht,SS,II,SS,US,SS_II_US
LH38,NSS,II,NSS,US,NSS_II_US
LH38,NSS,II,NSS,US,NSS_II_US
LH38,NSS,II,NSS,US,NSS_II_US
LH39,NSS,II,mix,NA,mix_II_NA
LH39,NSS,II,mix,NA,mix_II_NA
LH39,NSS,II,mix,NA,mix_II_NA
LH57,NSS,II,NSS,US,NSS_II_US
LP5,SS,,SS,US,SS__US
LP5,SS,,SS,US,SS__US
MBPM,NSS,II,NSS,US,NSS_II_US
MBPM,NSS,II,NSS,US,NSS_II_US
ML606,NSS,NA,NSS,US,NSS_NA_US
ML606,NSS,NA,NSS,US,NSS_NA_US
ML606,NSS,NA,NSS,US,NSS_NA_US
Mo1W,NSS,I,NSS,US,NSS_I_US
Mo1W,NSS,I,NSS,US,NSS_I_US
Mo1W,NSS,I,NSS,US,NSS_I_US
Mo24W,Broad origin-public,I,mix,NA,mix_I_NA
Mp339,Mixed,,mix,NA,mix__NA
N192,SS,NA,SS,US,SS_NA_US
N192,SS,NA,SS,US,SS_NA_US
N28Ht,SS,I,mix,NA,mix_I_NA
N28Ht,SS,I,mix,NA,mix_I_NA
N28Ht,SS,I,mix,NA,mix_I_NA
N6,NSS,I,NSS,US,NSS_I_US
NC222,Landrace,NA,NSS,US,NSS_NA_US
NC222,Landrace,NA,NSS,US,NSS_NA_US
NC230,Mixed,I,NSS,US,NSS_I_US
NC230,Mixed,I,NSS,US,NSS_I_US
NC230,Mixed,I,NSS,US,NSS_I_US
NC250,SS,I,SS,US,SS_I_US
NC250,SS,I,SS,US,SS_I_US
NC260,Broad origin-public,I,NSS,US,NSS_I_US
NC264,Tropical,I,Tropical,Mexico,Tropical
NC264,Tropical,I,Tropical,Mexico,Tropical
NC264,Tropical,I,Tropical,Mexico,Tropical
NC290A,Popcorn,I,mix,NA,mix_I_NA
NC290A,Popcorn,I,mix,NA,mix_I_NA
NC290A,Popcorn,I,mix,NA,mix_I_NA
NC294,SS,I,SS,US,SS_I_US
NC294,SS,I,SS,US,SS_I_US
NC294,SS,I,SS,US,SS_I_US
NC296,Tropical,NA,Tropical,Mexico,Tropical
NC296,Tropical,NA,Tropical,Mexico,Tropical
NC296,Tropical,NA,Tropical,Mexico,Tropical
NC310,SS,I,SS,US,SS_I_US
NC310,SS,I,SS,US,SS_I_US
NC314,SS,NA,SS,US,SS_NA_US
NC314,SS,NA,SS,US,SS_NA_US
NC314,SS,NA,SS,US,SS_NA_US
NC326,SS,I,SS,US,SS_I_US
NC326,SS,I,SS,US,SS_I_US
NC326,SS,I,SS,US,SS_I_US
NC336,Tropical,NA,Tropical,Mexico,Tropical
NC338,Tropical,I,Tropical,Mexico,Tropical
NC33,NSS,NA,mix,NA,mix_NA_NA
NC33,NSS,NA,mix,NA,mix_NA_NA
NC33,NSS,NA,mix,NA,mix_NA_NA
NC33,NSS,NA,mix,NA,mix_NA_NA
NC33,NSS,NA,mix,NA,mix_NA_NA
NC33,NSS,NA,mix,NA,mix_NA_NA
NC340,Tropical,I,Tropical,Mexico,Tropical
NC342,Mixed,I,NSS,US,NSS_I_US
NC342,Mixed,I,NSS,US,NSS_I_US
NC342,Mixed,I,NSS,US,NSS_I_US
NC350,Tropical,I,Tropical,Mexico,Tropical
NC350,Tropical,I,Tropical,Mexico,Tropical
NC350,Tropical,I,Tropical,Mexico,Tropical
NC350,Tropical,I,Tropical,Mexico,Tropical
NC350,Tropical,I,Tropical,Mexico,Tropical
NC350,Tropical,I,Tropical,Mexico,Tropical
NC360,Mixed,NA,Tropical,Mexico,Tropical
NC360,Mixed,NA,Tropical,Mexico,Tropical
NC360,Mixed,NA,Tropical,Mexico,Tropical
NC362,Popcorn,I,Tropical,Mexico,Tropical
NC362,Popcorn,I,Tropical,Mexico,Tropical
NC362,Popcorn,I,Tropical,Mexico,Tropical
NC366,Mixed,NA,Tropical,Mexico,Tropical
NC366,Mixed,NA,Tropical,Mexico,Tropical
NC366,Mixed,NA,Tropical,Mexico,Tropical
NS501,IDT,II,mix,NA,mix_II_NA
NS501,IDT,II,mix,NA,mix_II_NA
NS701,SS,II,SS,US,SS_II_US
NS701,SS,II,SS,US,SS_II_US
NS701,SS,II,SS,US,SS_II_US
Oh7,Mixed,I,NSS,US,NSS_I_US
Oh7,Mixed,I,NSS,US,NSS_I_US
Oh7,Mixed,I,NSS,US,NSS_I_US
Oh40B,NSS,I,NSS,US,NSS_I_US
Oh40B,NSS,I,NSS,US,NSS_I_US
Oh40B,NSS,I,NSS,US,NSS_I_US
Oh43E,NSS,I,NSS,US,NSS_I_US
Oh43E,NSS,I,NSS,US,NSS_I_US
Oh43E,NSS,I,NSS,US,NSS_I_US
Oh43,NSS,I,NSS,US,NSS_I_US
Oh43,NSS,I,NSS,US,NSS_I_US
Oh43,NSS,I,NSS,US,NSS_I_US
Oh7B,NSS,I,NSS,US,NSS_I_US
Oh7B,NSS,I,NSS,US,NSS_I_US
PHB47,SS,II,SS,US,SS_II_US
PHB47,SS,II,SS,US,SS_II_US
PHB47,SS,II,SS,US,SS_II_US
PHG35,Mixed,II,mix,NA,mix_II_NA
PHG35,Mixed,II,mix,NA,mix_II_NA
PHG50,IDT,II,Iodent,US,Iodent_II_US
PHG71,SS,II,Iodent,US,Iodent_II_US
PHG71,SS,II,Iodent,US,Iodent_II_US
PHG71,SS,II,Iodent,US,Iodent_II_US
PHG86,Mixed,II,SS,US,SS_II_US
PHJ40,SS,II,NSS,US,NSS_II_US
PHJ40,SS,II,NSS,US,NSS_II_US
PHJ40,SS,II,NSS,US,NSS_II_US
PHT10,SS,II,SS,US,SS_II_US
PHT10,SS,II,SS,US,SS_II_US
PHT10,SS,II,SS,US,SS_II_US
PHT77,NSS,II,SS,US,SS_II_US
PHT77,NSS,II,SS,US,SS_II_US
PHW17,SS,II,SS,US,SS_II_US
PHW17,SS,II,SS,US,SS_II_US
PHW17,SS,II,SS,US,SS_II_US
PHWG5,NSS,II,NSS,US,NSS_II_US
PHWG5,NSS,II,NSS,US,NSS_II_US
Pa762,NSS,I,NSS,US,NSS_I_US
Pa762,NSS,I,NSS,US,NSS_I_US
Pa762,NSS,I,NSS,US,NSS_I_US
Pa762,NSS,I,NSS,US,NSS_I_US
Pa875,NSS,NA,mix,NA,mix_NA_NA
Pa875,NSS,NA,mix,NA,mix_NA_NA
Pa875,NSS,NA,mix,NA,mix_NA_NA
Pa880,Mixed,I,NSS,US,NSS_I_US
Pa880,Mixed,I,NSS,US,NSS_I_US
Pa91,NSS,I,NSS,US,NSS_I_US
Pa91,NSS,I,NSS,US,NSS_I_US
Pa91,NSS,I,NSS,US,NSS_I_US
R229,SS,I,SS,US,SS_I_US
R229,SS,I,SS,US,SS_I_US
S014290,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014290,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014290,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S019092_1,Polskie,II,NSS,Poland,NSS_II_Poland
S019092_1,Polskie,II,NSS,Poland,NSS_II_Poland
S019092_1,Polskie,II,NSS,Poland,NSS_II_Poland
S022237A1,Polskie,II,NSS,Poland,NSS_II_Poland
S022237A1,Polskie,II,NSS,Poland,NSS_II_Poland
S022237A1,Polskie,II,NSS,Poland,NSS_II_Poland
S022588,Polskie,II,NSS,Poland,NSS_II_Poland
S022588,Polskie,II,NSS,Poland,NSS_II_Poland
S024136,Polskie,II,Iodent,Poland,Iodent_II_Poland
S024136,Polskie,II,Iodent,Poland,Iodent_II_Poland
S024136,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03729A,Polskie,II,mix,Poland,mix_II_Poland
S03729A,Polskie,II,mix,Poland,mix_II_Poland
S040299A2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040299A2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S09347,Polskie,II,NSS,Poland,NSS_II_Poland
S09347,Polskie,II,NSS,Poland,NSS_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12211_21,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12371_2_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12371_2_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12394,Polskie,II,mix,Poland,mix_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12402_4_4,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12442,Polskie,II,mix,Poland,mix_II_Poland
S12442,Polskie,II,mix,Poland,mix_II_Poland
S12544_1_2_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12544_1_2_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12607,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12607,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14036,Polskie,II,NSS,Poland,NSS_II_Poland
S14036,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14068A3,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_1,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14189_2,Polskie,II,NSS,Poland,NSS_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_1,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14225_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S14237,Polskie,II,Iodent,Poland,Iodent_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S15153A_3,Polskie,II,NSS,Poland,NSS_II_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S152,Polskie,I,NSS,Poland,NSS_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S160,Polskie,I,mix,Poland,mix_I_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16567A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16567A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,Polskie,II,NSS,Poland,NSS_II_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S84854,Polskie,II,Iodent,Poland,Iodent_II_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S299,Polskie,I,mix,Poland,mix_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
